epoch,loss
1,0.08153700541674258
2,0.16932350076674818
3,0.07181852978516168
4,0.006352109983146503
5,0.0872117997791435
6,0.00959035204132852
7,0.0025334065809456963
8,0.003744145448040692
9,0.012985164614405686
10,0.0071783436678549695
11,0.0001624858533655349
12,0.00857931549632096
13,0.0030696442319169126
14,0.0007350095984430816
15,0.003276203386690213
16,0.08448384791162922
17,0.0013444865735732225
18,7.460903986244993e-05
19,0.00011926863916622565
20,2.1318531891800774e-05
21,0.00034866357385898716
22,9.862647806202496e-05
23,0.0023345108119865454
24,0.012497744513532805
25,0.0015433245368088322
26,6.433317990772736e-06
27,9.634623549570343e-05
28,0.00010983107138784476
29,0.0017543577363596796
30,1.1548340423939152e-06
31,1.0813888490446288e-05
32,0.00018491471081172328
33,3.7661970664348843e-06
34,0.0001618855559804011
35,0.008173743861591865
36,0.00024458834675455954
37,3.759835679684187e-05
38,4.003099212579464e-05
39,0.00038292026830610837
40,0.0003713293760128078
41,0.0011488337665985782
42,4.440469270061698e-06
43,8.012845695626325e-06
44,7.768926347018201e-05
45,0.00013428678366045332
46,7.049967759331643e-05
47,9.483906195706382e-06
48,3.309338073864687e-05
49,2.223963867731271e-06
50,5.602710226870755e-06
